participant_id;list;block;item;agent;words;clue;count;assoc;guesses;board_dist;rt;quality;difficulty;freetext
0;1;1;0;RSA-swow_variant;['mass', 'sock', 'kangaroo', 'eye', 'africa', 'carrot', 'kiwi', 'cloak', 'note', 'shadow', 'chest', 'bermuda', 'fork', 'club', 'van', 'drop'];clothe;2;[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1];['sock', 'cloak'];"[2.60842697e-01 1.00000000e+00 6.08401750e-01 2.89180634e-01
 3.58455349e-01 4.51048642e-01 4.06694160e-01 1.00000000e+00
 1.41614014e-01 1.44148916e-02 8.51273126e-03 5.92738325e-04
 0.00000000e+00 1.56382026e-03 9.60954939e-01 4.97723633e-01]";42345;1;1;i just picked two options that fit into one category
0;1;1;0;other-simple_swow;['mass', 'sock', 'kangaroo', 'eye', 'africa', 'carrot', 'kiwi', 'cloak', 'note', 'shadow', 'chest', 'bermuda', 'fork', 'club', 'van', 'drop'];clothe;2;[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1];['cloak', 'sock'];"[0.01023865 0.15930176 0.03041077 0.01747131 0.01716614 0.00970459
 0.02072144 0.2993164  0.00844574 0.03308105 0.08154297 0.01209259
 0.03111267 0.00993347 0.00741959 0.02607727]";42345;1;1;i just picked two options that fit into one category
0;1;1;1;RSA-swow_variant;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];place;3;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];['round'];[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];92869;4;2;
0;1;1;1;other-simple_swow;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];place;3;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];['ground', 'round', 'school'];"[0.02032471 0.03890991 0.03053284 0.01925659 0.02104187 0.02653503
 0.04272461 0.02694702 0.01132965 0.06524658 0.00832367 0.00754547
 0.05145264 0.04031372 0.04370117 0.02639771]";92869;4;2;
0;1;1;2;RSA-swow_variant;['forest', 'table', 'ball', 'train', 'water', 'straw', 'fall', 'bear', 'amazon', 'pole', 'shop', 'berlin', 'mount', 'brush', 'nut', 'washington'];cart;3;[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1];['train'];[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];132460;3;4;
0;1;1;2;other-simple_swow;['forest', 'table', 'ball', 'train', 'water', 'straw', 'fall', 'bear', 'amazon', 'pole', 'shop', 'berlin', 'mount', 'brush', 'nut', 'washington'];cart;3;[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1];['train', 'shop', 'straw'];"[0.03378296 0.02746582 0.04089355 0.1965332  0.01759338 0.14953613
 0.02351379 0.08679199 0.10443115 0.02349854 0.17163086 0.0116806
 0.07653809 0.02140808 0.04821777 0.00948334]";132460;3;4;
0;1;1;4;RSA-swow_variant;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];breeze;1;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];['wind'];"[0.9936754  0.01082069 0.10183225 0.98271695 0.04079051 0.10120606
 0.00531016 0.00308089 0.01455283 0.61140682 1.         0.71109747
 0.82289879 0.35104638 0.19160394 0.05796085]";205446;1;7;
0;1;1;4;other-simple_swow;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];breeze;1;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];['wind'];"[0.05801392 0.03329468 0.00619888 0.01405334 0.04595947 0.02780151
 0.09741211 0.01676941 0.12976074 0.02607727 0.47875977 0.07159424
 0.03405762 0.03521729 0.05923462 0.01045227]";205446;1;7;
0;1;1;3;RSA-swow_variant;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];shape;1;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];['triangle'];"[0.08938786 0.24335877 0.91038584 1.         0.17667618 0.36467985
 0.20780478 0.98530318 0.00990684 0.16151419 0.02902905 0.47110295
 0.10291548 0.02666549 0.99576319 0.22550634]";56595;3;3;
0;1;1;3;other-simple_swow;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];shape;1;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];['triangle'];"[0.03530884 0.03466797 0.037323   0.42993164 0.02455139 0.05273438
 0.02177429 0.01913452 0.01397705 0.05178833 0.02816772 0.02792358
 0.02786255 0.01289368 0.0221405  0.02339172]";56595;3;3;
1;1;1;3;RSA-swow_variant;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];blow;2;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];['horn'];[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];65343;5;6;
1;1;1;3;other-simple_swow;['film', 'glass', 'change', 'triangle', 'ivory', 'pie', 'state', 'web', 'fan', 'wave', 'shakespeare', 'chair', 'hole', 'turkey', 'horn', 'lab'];blow;2;[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0];['horn', 'wave'];"[0.00566101 0.05947876 0.01657104 0.01959229 0.03323364 0.02355957
 0.00782013 0.01052856 0.08972168 0.10058594 0.00623703 0.02677917
 0.05871582 0.02642822 0.13989258 0.01061249]";65343;5;6;
1;1;1;4;RSA-swow_variant;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];celestial;1;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];['post'];"[6.66373847e-03 1.69002949e-01 1.00000000e+00 3.00558449e-01
 6.66624835e-02 1.00000000e+00 2.04944469e-01 9.99385079e-01
 7.52663613e-01 1.25494133e-05 4.58292025e-01 5.15379306e-01
 6.83943026e-03 4.96956767e-03 4.84834034e-01 2.97923072e-02]";75191;6;6;
1;1;1;4;other-simple_swow;['rock', 'cover', 'post', 'crown', 'missile', 'saturn', 'apple', 'centaur', 'stream', 'plastic', 'wind', 'plane', 'nail', 'space', 'hotel', 'figure'];celestial;1;[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0];['saturn'];"[0.04031372 0.01982117 0.00317955 0.0958252  0.04980469 0.38354492
 0.01117706 0.11120605 0.02128601 0.01713562 0.04437256 0.05447388
 0.00946808 0.28271484 0.01509094 0.01856995]";75191;6;6;
1;1;1;1;RSA-swow_variant;['death', 'box', 'vacuum', 'spider', 'war', 'needle', 'pyramid', 'torch', 'moon', 'ground', 'unicorn', 'thief', 'round', 'egypt', 'school', 'lap'];stick;2;[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1];['death'];[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];49405;4;5;
